player_name,school,position,season,qb_ppa_overall,qb_ppa_passing,qb_ppa_standard_downs,qb_ppa_passing_downs,qb_wepa_passing,qb_usage_rate
Jake Ryder,Villanova,QB,2025,-0.427,-0.559,-0.559,-0.295,,0.0024
Jacob Zeno,Texas A&M,QB,2025,0.086,0.086,0.019,0.187,,0.0123
Kaiden Bennett,Delaware State,QB,2025,0.206,0.111,0.025,0.453,,0.7601
Zach Calzada,Kentucky,QB,2025,-0.114,-0.206,0.091,-0.345,,0.1585
Dequan Finn,Miami (OH),QB,2025,0.297,0.289,0.181,0.503,,0.4932
Ta'Quan Roberson,Buffalo,QB,2025,0.205,0.192,0.093,0.368,,0.8704
Cade McNamara,East Tennessee State,QB,2025,0.171,0.139,0.104,0.28,,0.4946
Maverick McIvor,Western Kentucky,QB,2025,0.265,0.255,0.227,0.325,,0.5549
Haynes King,Georgia Tech,QB,2025,0.321,0.354,0.256,0.463,,0.9233
Jeff Sims,Arizona State,QB,2025,0.066,0.068,-0.219,0.415,,0.4382
Drew Pyne,Bowling Green,QB,2025,0.021,-0.038,-0.179,0.245,,0.5374
Brendon Lewis,Memphis,QB,2025,0.256,0.171,0.198,0.351,,0.8932
Aidan Bouman,South Dakota,QB,2025,0.278,0.295,0.161,0.446,,0.997
Deuce Hogan,Nicholls,QB,2025,0.02,-0.001,-0.035,0.085,,1.0
Jacolby Criswell,East Tennessee State,QB,2025,0.305,0.264,0.304,0.308,,0.371
Joe Fagnano,UConn,QB,2025,0.468,0.464,0.354,0.65,,0.9135
Tucker Gleason,Toledo,QB,2025,0.323,0.348,0.225,0.467,,0.806
Chubba Purdy,Nevada,QB,2025,0.02,-0.221,0.038,-0.01,,0.281
Carson Beck,Miami,QB,2025,0.318,0.374,0.248,0.425,,0.9435
Malakai Anthony,Bowie State,QB,2025,0.256,0.125,-0.076,0.501,,1.0
Michael Chandler II,Campbell,QB,2025,0.036,0.184,-0.158,0.444,,0.1074
Ben Finley,Akron,QB,2025,0.133,0.106,0.071,0.21,,0.9005
Ben Gulbranson,Stanford,QB,2025,0.221,0.24,0.275,0.164,,0.665
Taylen Green,Arkansas,QB,2025,0.405,0.332,0.288,0.587,,0.8556
Ken Seals,TCU,QB,2025,0.096,0.119,-0.421,0.815,,0.1
Evan Simon,Temple,QB,2025,0.256,0.281,0.196,0.341,,0.9023
Kiael Kelly,Ball State,QB,2025,0.042,-0.063,0.009,0.084,,0.9819
Behren Morton,Texas Tech,QB,2025,0.295,0.338,0.124,0.516,,0.688
Miller Moss,Louisville,QB,2025,0.159,0.126,0.156,0.162,,0.9179
Will Crowder,Troy,QB,2025,0.07,0.032,-0.076,0.268,,0.4548
TJ Finley,Georgia State,QB,2025,0.148,0.158,0.034,0.308,,0.4258
Christian Veilleux,Georgia State,QB,2025,0.122,0.093,0.17,0.07,,0.1822
Carlos Del Rio-Wilson,Marshall,QB,2025,0.278,0.363,0.209,0.395,,0.7642
Athan Kaliakmanis,Rutgers,QB,2025,0.232,0.274,0.21,0.265,,0.9735
Sawyer Robertson,Baylor,QB,2025,0.249,0.252,0.106,0.483,,0.9863
